Date,Close,Volume,Unemployment Rate,rf_3 Yr,const
2020-06-05,88.94235229492188,48174800,11.0,0.29,1.0
2020-06-08,87.79564666748047,38773600,11.0,0.29,1.0
2020-06-09,90.19869995117188,46848800,11.0,0.25,1.0
2020-06-10,93.3969497680664,63218000,11.0,0.22,1.0
2020-06-11,87.70841979980469,58365200,11.0,0.22,1.0
2020-06-12,89.06698608398438,57090800,11.0,0.22,1.0
2020-06-15,91.47251892089844,40000400,11.0,0.22,1.0
2020-06-16,90.42305755615234,53571600,11.0,0.23,1.0
2020-06-17,92.09323120117188,40830400,11.0,0.23,1.0
2020-06-18,91.91374206542967,25440800,11.0,0.22,1.0
2020-06-19,92.34498596191406,52416000,11.0,0.22,1.0
2020-06-22,94.9923095703125,39846800,11.0,0.22,1.0
2020-06-23,94.22705078125,37510800,11.0,0.22,1.0
2020-06-24,92.0882339477539,44937200,11.0,0.21,1.0
2020-06-25,94.6258773803711,37607200,11.0,0.21,1.0
2020-06-26,91.28555297851562,59208400,11.0,0.19,1.0
2020-06-29,91.73426818847656,34224800,11.0,0.18,1.0
2020-06-30,94.7031478881836,36789200,11.0,0.18,1.0
2020-07-01,95.02472686767578,32664800,10.2,0.19,1.0
2020-07-02,95.84485626220705,36405600,10.2,0.19,1.0
2020-07-06,98.1082992553711,31589200,10.2,0.19,1.0
2020-07-07,98.4323501586914,35780000,10.2,0.19,1.0
2020-07-08,101.86491394042967,36548000,10.2,0.19,1.0
2020-07-09,104.78643035888672,49454800,10.2,0.18,1.0
2020-07-10,104.48980712890624,49767600,10.2,0.19,1.0
2020-07-13,100.23213958740234,45707600,10.2,0.19,1.0
2020-07-14,103.4702606201172,54267600,10.2,0.19,1.0
2020-07-15,101.97708129882812,40398400,10.2,0.18,1.0
2020-07-16,101.05477905273438,34496400,10.2,0.17,1.0
2020-07-17,101.72032165527344,26628400,10.2,0.18,1.0
2020-07-20,104.80389404296876,28485200,10.2,0.18,1.0
2020-07-21,102.9866714477539,27703600,10.2,0.17,1.0
2020-07-22,104.08596801757812,36729200,10.2,0.17,1.0
2020-07-23,101.00489807128906,41166000,10.2,0.16,1.0
2020-07-24,101.65052032470705,47329200,10.2,0.17,1.0
2020-07-27,103.91397094726562,29213200,10.2,0.18,1.0
2020-07-28,101.85992431640624,27163600,10.2,0.16,1.0
2020-07-29,104.35269927978516,28450800,10.2,0.15,1.0
2020-07-30,105.83341217041016,30888000,10.2,0.14,1.0
2020-07-31,105.84089660644533,38608000,10.2,0.11,1.0
2020-08-03,109.7844467163086,41272000,8.4,0.13,1.0
2020-08-04,111.95317840576172,31033600,8.4,0.1,1.0
2020-08-05,112.54148864746094,24992400,8.4,0.13,1.0
2020-08-06,113.02757263183594,24431600,8.4,0.13,1.0
2020-08-07,111.67149353027344,34251600,8.4,0.14,1.0
2020-08-10,111.32749938964844,42779600,8.4,0.15,1.0
2020-08-11,108.18659973144533,35451200,8.4,0.18,1.0
2020-08-12,114.07203674316406,46441200,8.4,0.19,1.0
2020-08-13,114.0994644165039,37446000,8.4,0.19,1.0
2020-08-14,115.30596923828124,36643600,8.4,0.18,1.0
2020-08-17,123.01364135742188,62130000,8.4,0.18,1.0
2020-08-18,122.25333404541016,50344800,8.4,0.17,1.0
2020-08-19,121.03438568115234,62262400,8.4,0.17,1.0
2020-08-20,121.0593032836914,92138800,8.4,0.15,1.0
2020-08-21,126.46863555908205,99986800,8.4,0.16,1.0
2020-08-24,126.83509063720705,49056400,8.4,0.18,1.0
2020-08-25,127.1317138671875,28907600,8.4,0.18,1.0
2020-08-26,127.36104583740234,32124400,8.4,0.18,1.0
2020-08-27,125.91770935058594,31760400,8.4,0.19,1.0
2020-08-28,131.0977325439453,53716000,8.4,0.16,1.0
2020-08-31,133.3586883544922,50084000,8.4,0.15,1.0
2020-09-01,137.85198974609375,51131600,7.8,0.14,1.0
2020-09-02,143.09336853027344,87401200,7.8,0.16,1.0
2020-09-03,129.81787109375,94512800,7.8,0.15,1.0
2020-09-04,125.89805603027344,146368400,7.8,0.18,1.0
2020-09-08,118.8214111328125,79572800,7.8,0.17,1.0
2020-09-09,126.82064819335938,73620000,7.8,0.17,1.0
2020-09-10,122.79859161376952,69868400,7.8,0.17,1.0
2020-09-11,121.32990264892578,63692800,7.8,0.16,1.0
2020-09-14,128.3890838623047,120174400,7.8,0.16,1.0
2020-09-15,129.57350158691406,72755600,7.8,0.16,1.0
2020-09-16,124.82085418701172,55638400,7.8,0.16,1.0
2020-09-17,124.31217193603516,79251200,7.8,0.16,1.0
2020-09-18,121.57678985595705,69846000,7.8,0.16,1.0
2020-09-21,124.84827423095705,72104400,7.8,0.16,1.0
2020-09-22,126.0501480102539,64645200,7.8,0.15,1.0
2020-09-23,120.92347717285156,64701200,7.8,0.15,1.0
2020-09-24,123.16017150878906,73124000,7.8,0.16,1.0
2020-09-25,128.40402221679688,58801600,7.8,0.15,1.0
2020-09-28,130.01239013671875,57380800,7.8,0.16,1.0
2020-09-29,131.91493225097656,62146000,7.8,0.13,1.0
2020-09-30,134.95452880859375,68918400,7.8,0.16,1.0
2020-10-01,135.79232788085938,52500400,6.8,0.16,1.0
2020-10-02,130.28416442871094,55249600,6.8,0.16,1.0
2020-10-05,136.07167053222656,47982000,6.8,0.19,1.0
2020-10-06,137.00918579101562,78442000,6.8,0.17,1.0
2020-10-07,139.27828979492188,41808400,6.8,0.21,1.0
2020-10-08,138.029052734375,37890000,6.8,0.18,1.0
2020-10-09,137.27099609375,34689200,6.8,0.2,1.0
2020-10-12,141.89151000976562,43474400,6.8,0.2,1.0
2020-10-13,142.11343383789062,34460400,6.8,0.18,1.0
2020-10-14,140.58740234375,27610000,6.8,0.18,1.0
2020-10-15,139.33811950683594,26722400,6.8,0.18,1.0
2020-10-16,137.75726318359375,24239200,6.8,0.18,1.0
2020-10-19,134.62786865234375,29806800,6.8,0.19,1.0
2020-10-20,136.10154724121094,22921200,6.8,0.19,1.0
2020-10-21,134.89718627929688,21959600,6.8,0.2,1.0
2020-10-22,133.263916015625,29048000,6.8,0.21,1.0
2020-10-23,135.55052185058594,23348400,6.8,0.21,1.0
2020-10-26,131.0720977783203,33689600,6.8,0.18,1.0
2020-10-27,133.6204833984375,25052000,6.8,0.19,1.0
2020-10-28,125.94294738769533,37652000,6.8,0.19,1.0
2020-10-29,129.9026336669922,32008000,6.8,0.2,1.0
2020-10-30,125.0153350830078,41682000,6.8,0.19,1.0
2020-11-02,125.48162078857422,29965200,6.7,0.2,1.0
2020-11-03,129.8577880859375,27290000,6.7,0.21,1.0
2020-11-04,137.58518981933594,41022800,6.7,0.18,1.0
2020-11-05,141.23321533203125,31902800,6.7,0.18,1.0
2020-11-06,145.2427978515625,38334800,6.7,0.21,1.0
2020-11-09,135.95443725585938,58297600,6.7,0.25,1.0
2020-11-10,127.36923217773438,64406800,6.7,0.26,1.0
2020-11-11,133.8324737548828,40474400,6.7,0.26,1.0
2020-11-12,134.21893310546875,36581200,6.7,0.23,1.0
2020-11-13,132.62557983398438,34631200,6.7,0.23,1.0
2020-11-16,134.8024139404297,41377600,6.7,0.24,1.0
2020-11-17,133.87484741210938,31202800,6.7,0.22,1.0
2020-11-18,133.93968200683594,51092400,6.7,0.22,1.0
2020-11-19,134.05438232421875,56593600,6.7,0.22,1.0
2020-11-20,130.5384979248047,34108800,6.7,0.21,1.0
2020-11-23,131.05963134765625,36135600,6.7,0.22,1.0
2020-11-24,129.2418670654297,34650000,6.7,0.22,1.0
2020-11-25,132.00466918945312,25991600,6.7,0.21,1.0
2020-11-27,132.26901245117188,16727600,6.7,0.2,1.0
2020-11-30,133.66787719726562,28695200,6.7,0.19,1.0
2020-12-01,133.5531768798828,29694800,6.7,0.22,1.0
2020-12-02,135.0941925048828,28336000,6.7,0.22,1.0
2020-12-03,133.65249633789062,19952000,6.7,0.21,1.0
2020-12-04,135.27127075195312,20224400,6.7,0.21,1.0
2020-12-07,135.75515747070312,22324400,6.7,0.2,1.0
2020-12-08,133.19354248046875,27192000,6.7,0.2,1.0
2020-12-09,129.01068115234375,40130000,6.7,0.21,1.0
2020-12-10,129.4246826171875,20776400,6.7,0.2,1.0
2020-12-11,129.83377075195312,20926400,6.7,0.18,1.0
2020-12-14,132.78196716308594,27015600,6.7,0.17,1.0
2020-12-15,133.29830932617188,19301600,6.7,0.18,1.0
2020-12-16,132.12103271484375,22311600,6.7,0.18,1.0
2020-12-17,133.10623168945312,23138400,6.7,0.19,1.0
2020-12-18,132.41534423828125,34206400,6.7,0.19,1.0
2020-12-21,133.01644897460938,30233200,6.7,0.18,1.0
2020-12-22,132.4777069091797,18558000,6.7,0.17,1.0
2020-12-23,129.79383850097656,17914400,6.7,0.18,1.0
2020-12-24,129.6392059326172,9788400,6.7,0.17,1.0
2020-12-28,128.70387268066406,21256400,6.7,0.17,1.0
2020-12-29,129.1353759765625,17037200,6.7,0.17,1.0
2020-12-30,131.15570068359375,22539600,6.7,0.17,1.0
2020-12-31,130.25033569335938,19242400,6.7,0.17,1.0
2021-01-04,130.83396911621094,56064000,6.4,0.16,1.0
2021-01-05,133.7398223876953,32276000,6.4,0.17,1.0
2021-01-06,125.8554229736328,58042400,6.4,0.2,1.0
2021-01-07,133.13368225097656,46148000,6.4,0.22,1.0
2021-01-08,132.4627227783203,29252800,6.4,0.24,1.0
2021-01-11,135.90232849121094,51834400,6.4,0.22,1.0
2021-01-12,134.53794860839844,29147600,6.4,0.23,1.0
2021-01-13,135.00686645507812,21002800,6.4,0.22,1.0
2021-01-14,131.6995086669922,28312000,6.4,0.23,1.0
2021-01-15,128.2998046875,27778000,6.4,0.2,1.0
2021-01-19,129.9534912109375,22618800,6.4,0.21,1.0
2021-01-20,133.3507080078125,25857200,6.4,0.19,1.0
2021-01-21,138.35665893554688,33778000,6.4,0.19,1.0
2021-01-22,136.8102264404297,24682000,6.4,0.19,1.0
2021-01-25,136.21908569335938,25111200,6.4,0.17,1.0
2021-01-26,134.04408264160156,16398000,6.4,0.18,1.0
2021-01-27,128.88099670410156,37127200,6.4,0.18,1.0
2021-01-28,130.21041870117188,22831600,6.4,0.18,1.0
2021-01-29,129.5993194580078,27155200,6.4,0.19,1.0
2021-02-01,132.06613159179688,21720400,6.2,0.17,1.0
2021-02-02,135.2563018798828,22044000,6.2,0.18,1.0
2021-02-03,134.99440002441406,24540800,6.2,0.19,1.0
2021-02-04,136.328857421875,20134000,6.2,0.18,1.0
2021-02-05,135.59805297851562,16915200,6.2,0.19,1.0
2021-02-08,144.05604553222656,43462400,6.2,0.2,1.0
2021-02-09,142.30508422851562,28756000,6.2,0.19,1.0
2021-02-10,147.30357360839844,48535200,6.2,0.19,1.0
2021-02-11,152.15744018554688,45082800,6.2,0.19,1.0
2021-02-12,149.26902770996094,37475600,6.2,0.2,1.0
2021-02-16,152.95059204101562,32196000,6.2,0.23,1.0
2021-02-17,148.7178192138672,27475600,6.2,0.21,1.0
2021-02-18,147.94956970214844,23386800,6.2,0.21,1.0
2021-02-19,148.92237854003906,27172400,6.2,0.22,1.0
2021-02-22,143.2279510498047,32588400,6.2,0.22,1.0
2021-02-23,141.09536743164062,39178000,6.2,0.22,1.0
2021-02-24,144.65719604492188,44832000,6.2,0.24,1.0
2021-02-25,132.76950073242188,82443600,6.2,0.34,1.0
2021-02-26,136.8302001953125,50093200,6.2,0.3,1.0
